ID,STATE,CONSTITUENCY,CANDIDATE,PARTY,VOTES
116,Gujarat,Gandhinagar,MANOJ J. NAYAK,Loktantrik Rashrtavadi Party,683
117,Gujarat,Gandhinagar,THAKOR CHANDRASINH JAVANSINH,Independent,668
118,Gujarat,Gandhinagar,PATEL PIYUSHKUMAR DASHRATHLAL,National Youth Party,653
119,Gujarat,Gandhinagar,None of the Above,None of the Above,12777
120,Gujarat,Ahmedabad East,PARESH RAWAL,Bharatiya Janata Party,633582
121,Gujarat,Ahmedabad East,PATEL HIMMATSINGH PRAHLADSINGH,Indian National Congress,306949
122,Gujarat,Ahmedabad East,DINESH VAGHELA,Aam Aadmi Party,11349
123,Gujarat,Ahmedabad East,ROHIT RAJUBHAI VIRJIBHAI ALIAS MANOJBHAI SONTARIYA,Bahujan Samaj Party,6023
124,Gujarat,Ahmedabad East,ROSHAN PRIYAVADAN SHAH,Independent,4046
125,Gujarat,Ahmedabad East,DASHRATHBHAI M. DEVDA,Independent,2299
126,Gujarat,Ahmedabad East,ANILKUMAR SHARMA,Independent,1201
127,Gujarat,Ahmedabad East,ATIKBHAI MEV,Independent,1094
128,Gujarat,Ahmedabad East,ADITYA RAVAL,Vishva Hindustani Sangathan,987
129,Gujarat,Ahmedabad East,KHALIFA SAMSUDDIN NASIRUDDIN (JUGNU),Akhil Bharatiya Congress Dal (Ambedkar),895
130,Gujarat,Ahmedabad East,NARANBHAI T. SENGAL (DR.N.T.SENGAL),Bahujan Suraksha Dal,782
131,Gujarat,Ahmedabad East,VIJAYKUMAR M. VADHEL,Hindusthan Nirman Dal,704
132,Gujarat,Ahmedabad East,BUDDHPRIYA JASVANT SOMABHAI,Prajatantra Aadhar Party,698
133,Gujarat,Ahmedabad East,DUTT AAKASH - ADVOCATE,Janata Dal (United),558
134,Gujarat,Ahmedabad East,None of the Above,None of the Above,14358
135,Gujarat,Ahmedabad West,DR. KIRIT P SOLANKI,Bharatiya Janata Party,617104
136,Gujarat,Ahmedabad West,ISHWARBAHI DHANABHAI MAKWANA,Indian National Congress,296793
137,Gujarat,Ahmedabad West,J J MEVADA,Aam Aadmi Party,17332
138,Gujarat,Ahmedabad West,CHAVDA MANSUKHBHAI NAGARBHAI,Bahujan Samaj Party,6205
139,Gujarat,Ahmedabad West,SOLANKI VITTHALBHAI MAGANBHAI,Independent,2837
140,Gujarat,Ahmedabad West,DR J G PARMAR,Bahujan Mukti Party,2564
141,Gujarat,Ahmedabad West,NARENDRA SANKHALIYA,Loktantrik Samajwadi Party,1391
142,Gujarat,Ahmedabad West,SOLANKI RAMESHBHAI DANABHAI,Independent,1256
143,Gujarat,Ahmedabad West,AMRUT SONARA,Bahujan Suraksha Dal,941
144,Gujarat,Ahmedabad West,AAYAR MULJIBHAI KHANABHAI,Independent,808
145,Gujarat,Ahmedabad West,PARMAR HARJIVANBHAI KALABHAI,Independent,807
146,Gujarat,Ahmedabad West,None of the Above,None of the Above,16571
147,Gujarat,Surendranagar,FATEPARA DEVAJIBHAI GOVINDBHAI,Bharatiya Janata Party,529003
148,Gujarat,Surendranagar,KOLI PATEL SOMABHAI GANDALAL,Indian National Congress,326096
149,Gujarat,Surendranagar,SAPARA VIPULBHAI RAMESHBHAI,Independent,14524
150,Gujarat,Surendranagar,JETHABHAI MANJIBHAI PATEL,Aam Aadmi Party,13375
151,Gujarat,Surendranagar,SANKALIYA GANGARAMBHAI TAPUBHAI,Independent,11208
152,Gujarat,Surendranagar,PARMAR MINAXIBEN VIJAYBHAI,Bahujan Samaj Party,10753
153,Gujarat,Surendranagar,VAGHELA PRAKASHBHAI BACHUBHAI,Independent,6433
154,Gujarat,Surendranagar,VORA BHAVANBHAI DEVAJIBHAI,Independent,4821
155,Gujarat,Surendranagar,VADALIYA KALUBHAI MALUBHAI,Independent,3109
156,Gujarat,Surendranagar,PARMAR PRABHUBHAI GOKALBHAI,Independent,2968
157,Gujarat,Surendranagar,BAR AJAMALBHAI KARMANBHAI,Bahujan Mukti Party,2251
158,Gujarat,Surendranagar,MANSINH SHIVUBHA ZALA,Independent,2154
159,Gujarat,Surendranagar,PARMAR VASHARAMBHAI BAVALBHAI,Independent,1751
160,Gujarat,Surendranagar,MAKWANA VASHARAMBHAI KARSHANBHAI,Independent,1413
161,Gujarat,Surendranagar,MAJETHIYA SAMARATBHAI JERAMBHAI,Hindustan Janta Party,1341
162,Gujarat,Surendranagar,CHAVDA PALABHAI NANJIBHAI,Independent,1227
163,Gujarat,Surendranagar,MAKWANA UKABHAI AMRABHAI,Independent,1226
164,Gujarat,Surendranagar,None of the Above,None of the Above,11024
165,Andhra Pradesh,Mahbubnagar,AP JITHENDER REDDY,Telangana Rashtra Samithi,334228
166,Andhra Pradesh,Mahbubnagar,JAIPAL REDDY SUDINI,Indian National Congress,331638
167,Andhra Pradesh,Mahbubnagar,DR. JANARDHAN REDDY NAGAM,Bharatiya Janata Party,272791
168,Andhra Pradesh,Mahbubnagar,S.R.PREMAIAH,Pyramid Party of India,30388
169,Andhra Pradesh,Mahbubnagar,KADIRE KRISHNA,Bahujan Samaj Party,15779
170,Andhra Pradesh,Mahbubnagar,H.A. RAHMAN,Yuvajana Sramika Rythu Congress Party,9105
171,Andhra Pradesh,Mahbubnagar,IBRAHIM SYED,Independent,4549
172,Andhra Pradesh,Mahbubnagar,DR. CHANDRA SEKHAR. A,Independent,4033
173,Andhra Pradesh,Mahbubnagar,S. SHIVA SHANKAR,Independent,3252
174,Andhra Pradesh,Mahbubnagar,None of the Above,None of the Above,9037
175,Gujarat,Rajkot,KUNDARIYA MOHANBHAI KALYANJIBHAI,Bharatiya Janata Party,621524
176,Gujarat,Rajkot,KUNVARJIBHAI MOHANBHAI BAVALIYA,Indian National Congress,375096
177,Gujarat,Rajkot,JIVANBHAI DEVAJIBHAI PARMAR,Bahujan Samaj Party,12653
178,Gujarat,Rajkot,ANKUR AMRUTKUMAR DHAMELIYA(PATEL),Aam Aadmi Party,10785
179,Gujarat,Rajkot,VINODBHAI PRAGJIBHAI NAGANI,Independent,5752
180,Gujarat,Rajkot,BASIRBHAI SULEMANBHAI SAMA,Independent,2076
181,Gujarat,Rajkot,ANIRUDDHSINH JUVANSINH ZALA,Independent,1636
182,Gujarat,Rajkot,PRAVINCHANDRA CHUNILAL PAREKH,Independent,1562
183,Gujarat,Rajkot,POPATBHAI DEVAJIBHAI CHAVDA (BHUVA),Independent,1408
184,Gujarat,Rajkot,ROHITBHAI MOHANBHAI SAGATHIYA,Bahujan Mukti Party,1344
185,Gujarat,Rajkot,NARENDRABHAI MAHAJAN,Independent,1161
186,Gujarat,Rajkot,PATHAN BISMILLAKHAN ABDULKHAN (BABAKHAN PATHAN),Independent,1080
187,Gujarat,Rajkot,JITENDRA BHURABHAI CHAUHAN,Republican Party of India (Khobragade),990
188,Gujarat,Rajkot,DENGADA PRAVINBHAI MEGHAJIBHAI,Republican Party of India (A),945
189,Gujarat,Rajkot,RAJESHBHAI LAVJIBHAI PIPALVA,Loktantrik Rashrtavadi Party,808
190,Gujarat,Rajkot,None of the Above,None of the Above,18249
191,Gujarat,Porbandar,RADADIYA VITHALBHAI HANSRAJBHAI,Bharatiya Janata Party,508437
192,Gujarat,Porbandar,JADEJA KANDHALBHAI SARMANBHAI,Nationalist Congress Party,240466
193,Gujarat,Porbandar,SADIYA VRAJALAL PABABHAI,Bahujan Samaj Party,12180
194,Gujarat,Porbandar,MANSUKH SUNDARAJI DHOKAI,Aam Aadmi Party,7939
195,Gujarat,Porbandar,VAKIL VINZUDA RANJITBHAI NARANBHAI,Independent,4475
196,Gujarat,Porbandar,IRFANSHAH HABIBSHAH SUHARAVARDI,Samajwadi Party,3825
197,Gujarat,Porbandar,RATHOD CHANDULAL MOHANLAL,Independent,3009
198,Gujarat,Porbandar,PATEL BUTANI RAJESHBHAI MAGANBHAI,Independent,2868
199,Gujarat,Porbandar,KHUNTI BHARATBHAI MALDEBHAI,Independent,2205
200,Gujarat,Porbandar,TUKADIA G.R.,Independent,1704
201,Gujarat,Porbandar,AGHERA DHIRAJLAL BHURABHAI,Independent,1671
202,Gujarat,Porbandar,UNADAKAT PRAKASH VALLABHADAS,Independent,1618
203,Gujarat,Porbandar,KHOKHANI LALITABEN MANSUKHBHAI,Independent,1569
204,Gujarat,Porbandar,JOSHI HARISH LILADHAR,Independent,1024
205,Gujarat,Porbandar,None of the Above,None of the Above,16443
206,Gujarat,Jamnagar,POONAMBEN HEMATBHAI MAADAM,Bharatiya Janata Party,484412
207,Gujarat,Jamnagar,AHIR VIKRAMBHAI ARJANBHAI MADAM,Indian National Congress,309123
208,Gujarat,Jamnagar,MAMAD HAJI BOLIM,Independent,8596
209,Gujarat,Jamnagar,SAMA YUSUF,Bahujan Samaj Party,8234
210,Gujarat,Jamnagar,MEMAN RAFIK ABUBAKAR POPATPUTRA,Independent,5811
211,Gujarat,Jamnagar,JHALA RAJENDRASINH,Aam Aadmi Party,4911
212,Gujarat,Jamnagar,VAGHER ALI ISHAK PALANI,Independent,3946
213,Gujarat,Jamnagar,BATHWAR NANJIBHAI,Independent,3667
214,Gujarat,Jamnagar,NARIYA PRAVINBHAI VALLABHBHAI,Independent,1811
215,Gujarat,Jamnagar,PANDYA CHIRAGBHAI HARIOMBHAI,Independent,1541
216,Gujarat,Jamnagar,SANDHI MAMADBHAI HAJIBHAI SAFIA,Independent,1377
217,Gujarat,Jamnagar,KASAMBHAI,Rashtriya Komi Ekta Party,1254
218,Gujarat,Jamnagar,VAGHER JAVIDBHAI OSMANBHAI NOLE,Independent,1247
219,Gujarat,Jamnagar,PADHIYAR LALJIBHAI KARABHAI,Independent,1188
220,Gujarat,Jamnagar,DHARAVIYA VALLABHBHAI,Independent,1043
221,Gujarat,Jamnagar,SAIYAD ABUBAKAR IBRAHIM,Samajwadi Party,940
222,Gujarat,Jamnagar,SODHA SALIMBHAI NURMAMADBHAI,Independent,885
223,Gujarat,Jamnagar,CHANDRAVIJAYSINH TAKHUBHA RANA,Independent,876
224,Gujarat,Jamnagar,SACHADA HABIB ISHABHAI,Independent,819
225,Gujarat,Jamnagar,VANIYA GANGAJIBHAI,Independent,795
226,Gujarat,Jamnagar,DHANJIBHAI LALJIBHAI RANEVADIA,Independent,777
227,Gujarat,Jamnagar,SUMARA AMANDBHAI NOORMAMADBHAI SUMARA,Independent,760
228,Gujarat,Jamnagar,DALIT ASHOK NATHABHAI CHAVDA,Independent,744
229,Gujarat,Jamnagar,DALIT JITESH BABUBHAI RATHORE,Independent,706
230,Gujarat,Jamnagar,SUTHAR HANSABEN HARSUKHBHAI GORECHA,Independent,592
231,Gujarat,Jamnagar,None of the Above,None of the Above,6588
232,Gujarat,Junagadh,CHUDASAMA RAJESHBHAI NARANBHAI,Bharatiya Janata Party,513179
233,Gujarat,Junagadh,PUNJABHAI BHIMABHAI VANSH,Indian National Congress,377347
234,Gujarat,Junagadh,ATUL GOVINDBHAI SHEKHADA,Aam Aadmi Party,16674
235,Gujarat,Junagadh,HARILAL RANCHHODBHAI CHAUHAN,Independent,7574
236,Gujarat,Junagadh,SAIYED ALTAF HUSAIN ABDULLAH MIYAN,Independent,2717
237,Gujarat,Junagadh,SOLANKI HARIBHAI BOGHABHAI,Bahujan Mukti Party,2565
238,Gujarat,Junagadh,KADRI IBRAHIM SAIYED HUSEN,Samajwadi Party,2409
239,Gujarat,Junagadh,GADHIYA SOYEB HUSHENBHAI,Independent,1891
240,Gujarat,Junagadh,None of the Above,None of the Above,17022
241,Gujarat,Amreli,KACHHADIYA NARANBHAI BHIKHABHAI,Bharatiya Janata Party,436715
242,Gujarat,Amreli,THUMMAR VIRJIBHAI KESHAVBHAI (VIRJIBHAI THUMMAR),Indian National Congress,280483
243,Gujarat,Amreli,SUKHADIYA NATHALAL VALLABHBHAI,Aam Aadmi Party,15520
244,Gujarat,Amreli,CHAVADA MANUBHAI PARSHOTTMBHAI,Janata Dal (United),13803
245,Gujarat,Amreli,RAMANI SURESHBHAI DHIRUBHAI,Independent,10114
246,Gujarat,Amreli,VALODARA VRAJLAL JIVABHAI,Independent,8167
247,Gujarat,Amreli,DAFADA RAMJIBHAI NANJIBHAI,Bahujan Samaj Party,7822
248,Gujarat,Amreli,NATHABHAI DAYABHAI TOTA,Independent,4032
249,Gujarat,Amreli,MEHULBHAI HIMATBHAI SUKHADIA,Independent,3439
250,Gujarat,Amreli,USMANBHAI P. MAGHARA,Independent,2216
251,Gujarat,Amreli,DHIMECHA NARESHBHAI NANJIBHAI,Independent,2062
252,Gujarat,Amreli,SANGANI VIJAYBHAI DINESHBHAI,Yuva Sarkar,1938
253,Gujarat,Amreli,RATHOD JIVANBHAI R.,Republican Party of India (A),1809
254,Gujarat,Amreli,JADAV MUSTAKBHAI,Independent,1553
255,Gujarat,Amreli,None of the Above,None of the Above,19143
256,Gujarat,Bhavnagar,DR. BHARATIBEN DHIRUBHAI SHIYAL,Bharatiya Janata Party,549529
257,Gujarat,Bhavnagar,RATHOD PRAVINBHAI JINABHAI,Indian National Congress,254041
258,Gujarat,Bhavnagar,DR. KANUBHAI V. KALSARIA,Aam Aadmi Party,49540
259,Gujarat,Bhavnagar,GITA CHETAN PAUNDA (ADVOCATE GITABA JADEJA),Bahujan Samaj Party,9345
260,Gujarat,Bhavnagar,VAGHELA NARENDRABHAI SHAVJIBHAI,Independent,9113
261,Gujarat,Bhavnagar,VEGAD NATHABHAI (VEGADBHAI PRAGNACHAKSHU CANDIDATE),Independent,7550
262,Gujarat,Bhavnagar,BHAVES GHANSHYAMBHAI RAJYAGURU,Independent,5912
263,Gujarat,Bhavnagar,RATHOD PRAVINSINH CHANDRASINH,Independent,5530
264,Gujarat,Bhavnagar,KAGADA RAMESHBHAI PUNABHAI,Independent,3542
265,Gujarat,Bhavnagar,RASIDKHAN HASANKHAN PATHAN,Independent,2707
266,Gujarat,Bhavnagar,GOHIL PRAVINSINH DHIRUBHA,Independent,2276
267,Gujarat,Bhavnagar,MARU MANHAR VALAJIBHAI,Independent,2257
268,Gujarat,Bhavnagar,MEHTA YASHVANTRAY ODHAVJIBHAI,Independent,1852
269,Gujarat,Bhavnagar,GOHEL BHARATBHAI BHIMABHAI,Independent,1734
270,Gujarat,Bhavnagar,JAGADISHBHAI AMARABHAI VEGAD,Independent,1525
271,Gujarat,Bhavnagar,KHADRANI ASIMBHAI PIRBHAI,Independent,1359
272,Gujarat,Bhavnagar,None of the Above,None of the Above,9590
273,Gujarat,Anand,DILIP PATEL,Bharatiya Janata Party,490829
274,Gujarat,Anand,SOLANKI BHARATBHAI MADHAVSINH,Indian National Congress,427403
275,Gujarat,Anand,VAHORA FIROJBHAI WALIMAHAMADBHAI (KASORWALA),Independent,6689
276,Gujarat,Anand,PURSOTTAMBHAI ALIAS KANUBHAI MATHURBHAI CHAUHAN,Bahujan Samaj Party,6480
277,Gujarat,Anand,VAGHELA BHARAT P,Independent,4022
278,Gujarat,Anand,GIRISHBHAI DAS (ADVOCATE),Bahujan Mukti Party,4003
279,Gujarat,Anand,RABARI HITESHKUMAR LALJIBHAI,Independent,2975
280,Gujarat,Anand,RAVJIBHAI S PARMAR,Aam Aadmi Party,2442
281,Gujarat,Anand,MAHIDA MAHENDRASINH SAHEBSINH,Samajwadi Party,1790
282,Gujarat,Anand,PATEL DILIPBHAI MANILAL,Independent,1466
283,Gujarat,Anand,PATEL JAYESHBHAI ARVINDBHAI,Independent,1459
