115,GUJARAT,GANDHINAGAR,DIPIKABEN SUTARIYA,INDEPENDENT,684
116,GUJARAT,GANDHINAGAR,MANOJ J. NAYAK,LOKTANTRIK RASHRTAVADI PARTY,683
117,GUJARAT,GANDHINAGAR,THAKOR CHANDRASINH JAVANSINH,INDEPENDENT,668
118,GUJARAT,GANDHINAGAR,PATEL PIYUSHKUMAR DASHRATHLAL,NATIONAL YOUTH PARTY,653
119,GUJARAT,GANDHINAGAR,NONE OF THE ABOVE,NONE OF THE ABOVE,12777
120,GUJARAT,AHMEDABAD EAST,PARESH RAWAL,BHARATIYA JANATA PARTY,633582
121,GUJARAT,AHMEDABAD EAST,PATEL HIMMATSINGH PRAHLADSINGH,INDIAN NATIONAL CONGRESS,306949
122,GUJARAT,AHMEDABAD EAST,DINESH VAGHELA,AAM AADMI PARTY,11349
123,GUJARAT,AHMEDABAD EAST,ROHIT RAJUBHAI VIRJIBHAI ALIAS MANOJBHAI SONTARIYA,BAHUJAN SAMAJ PARTY,6023
124,GUJARAT,AHMEDABAD EAST,ROSHAN PRIYAVADAN SHAH,INDEPENDENT,4046
125,GUJARAT,AHMEDABAD EAST,DASHRATHBHAI M. DEVDA,INDEPENDENT,2299
126,GUJARAT,AHMEDABAD EAST,ANILKUMAR SHARMA,INDEPENDENT,1201
127,GUJARAT,AHMEDABAD EAST,ATIKBHAI MEV,INDEPENDENT,1094
128,GUJARAT,AHMEDABAD EAST,ADITYA RAVAL,VISHVA HINDUSTANI SANGATHAN,987
129,GUJARAT,AHMEDABAD EAST,KHALIFA SAMSUDDIN NASIRUDDIN (JUGNU),AKHIL BHARATIYA CONGRESS DAL (AMBEDKAR),895
130,GUJARAT,AHMEDABAD EAST,NARANBHAI T. SENGAL (DR.N.T.SENGAL),BAHUJAN SURAKSHA DAL,782
131,GUJARAT,AHMEDABAD EAST,VIJAYKUMAR M. VADHEL,HINDUSTHAN NIRMAN DAL,704
132,GUJARAT,AHMEDABAD EAST,BUDDHPRIYA JASVANT SOMABHAI,PRAJATANTRA AADHAR PARTY,698
133,GUJARAT,AHMEDABAD EAST,DUTT AAKASH - ADVOCATE,JANATA DAL (UNITED),558
