CANDIDATE,PARTY,CONSTITUENCY,VOTES,TOTAL_VOTES,VOTE_SHARE
"PATEL NATUBHAI GOMANBHAI","BHARATIYA JANATA PARTY","DADAR & NAGAR HAVELI",80790,165286,0.4888
"Y.V.SUBBA REDDY","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",ONGOLE,589960,1208225,0.4883
"INDERJIT SINGH RAO","BHARATIYA JANATA PARTY",GURGAON,644780,1320619,0.4882
"RAMESH JIGAJINAGI","BHARATIYA JANATA PARTY",BIJAPUR,471757,966757,0.4880
"MALYADRI SRIRAM","TELUGU DESAM",BAPATLA,578145,1184634,0.4880
"VISHNU DAYAL RAM","BHARATIYA JANATA PARTY",PALAMAU,476513,977323,0.4876
"KAMBHAMPATI HARI BABU","BHARATIYA JANATA PARTY",VISAKHAPATNAM,566832,1163558,0.4872
"RADHA MOHAN SINGH","BHARATIYA JANATA PARTY","PURVI CHAMPARAN",400452,822671,0.4868
"ASHOK SHANKARRAO CHAVAN","INDIAN NATIONAL CONGRESS",NANDED,493075,1013350,0.4866
"C. L. RUALA","INDIAN NATIONAL CONGRESS",MIZORAM,210485,433201,0.4859
"MEKAPATI RAJAMOHAN REDDY","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",NELLORE,576396,1187648,0.4853
"SANTOSH AHLAWAT","BHARATIYA JANATA PARTY",JHUNJHUNU,488182,1006465,0.4850
"BHAGWANT MANN","AAM AADMI PARTY",SANGRUR,533237,1099467,0.4850
"DHARMENDRA YADAV","SAMAJWADI PARTY",BADAUN,498378,1027594,0.4850
"ADV. NARENDRA KESHAV SAWAIKAR","BHARATIYA JANATA PARTY","SOUTH GOA",198776,410369,0.4844
"AKSHAY YADAV","SAMAJWADI PARTY",FIROZABAD,534583,1104606,0.4840
PANNERSELVAM.V,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",SALEM,556546,1150296,0.4838
"SATISH KUMAR","BHARATIYA JANATA PARTY",ALIGARH,514622,1064357,0.4835
"KAMLA PATLE","BHARATIYA JANATA PARTY",JANJGIR-CHAMPA,518909,1073347,0.4834
"ANUPAM HAZRA","ALL INDIA TRINAMOOL CONGRESS",BOLPUR,630693,1304756,0.4834
"KARADI SANGANNA AMARAPPA","BHARATIYA JANATA PARTY",KOPPAL,486383,1006508,0.4832
"PARVESH SAHIB SINGH VERMA","BHARATIYA JANATA PARTY","WEST DELHI",651395,1347971,0.4832
"KANWAR SINGH TANWAR","BHARATIYA JANATA PARTY",AMROHA,528880,1095860,0.4826
"DHANANJAY BHIMRAO MAHADIK","NATIONALIST CONGRESS PARTY",KOLHAPUR,607665,1260289,0.4822
"KAMARAJ. K","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",KALLAKURICHI,533383,1107241,0.4817
"SULTAN AHMED","ALL INDIA TRINAMOOL CONGRESS",ULUBERIA,570785,1186027,0.4813
"LALLU SINGH","BHARATIYA JANATA PARTY",FAIZABAD,491761,1022716,0.4808
"RITI PATHAK","BHARATIYA JANATA PARTY",SIDHI,475678,989396,0.4808
"FAGGAN SINGH KULASTE","BHARATIYA JANATA PARTY",MANDLA,585720,1218518,0.4807
"ARVIND SAWANT",SHIVSENA,"MUMBAI SOUTH",374780,780715,0.4800
"CAPTAIN AMARINDER SINGH","INDIAN NATIONAL CONGRESS",AMRITSAR,482876,1007196,0.4794
"ASHOK GAJAPATHI RAJU PUSAPATI","TELUGU DESAM",VIZIANAGARAM,536549,1120316,0.4789
"RAJENDRA AGARWAL","BHARATIYA JANATA PARTY",MEERUT,532981,1113384,0.4787
"BHAGWANTH KHUBA","BHARATIYA JANATA PARTY",BIDAR,459290,959384,0.4787
"VARAPRASAD RAO VELAGAPALLI","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",TIRUPATI,580376,1213064,0.4784
"MAHEISH GIRRI","BHARATIYA JANATA PARTY","EAST DELHI",572202,1196336,0.4783
"BISHNU PADA RAY","BHARATIYA JANATA PARTY","ANDAMAN & NICOBAR ISLANDS",90969,190328,0.4780
"KAMLESH PASWAN","BHARATIYA JANATA PARTY",BANSGAON,417959,877877,0.4761
