PARTY,TOTAL_COST,PARTY_VOTES,COST_PER_VOTE
"BHARATIYA JAN KRANTI DAL (DEMOCRATIC)",21000000,14685,1430.0306
"PYRAMID PARTY OF INDIA",266000000,185449,1434.3566
"SARVAJAN KALYAN LOKTANTRIK PARTY",28000000,19253,1454.3188
"JAN-NYAY DAL",7000000,4719,1483.3651
"SWARAJ (J)",21000000,14152,1483.8892
"AMRA BANGALEE",112000000,74628,1500.7772
"BHARTIYA JANTANTRIK JANATA DAL",7000000,4664,1500.8576
"RASHTRIYA JANKRANTI MORCHA",7000000,4647,1506.3482
"APNA DAL UNITED PARTY",14000000,9265,1511.0631
"SAMAJWADI JANATA PARTY (RASHTRIYA)",91000000,59756,1522.8596
"REPUBLICAN PARTY OF INDIA (A)",308000000,199848,1541.1713
"RAYALASEEMA PARIRAKSHANA SAMITHI",7000000,4521,1548.3300
"INDIAN UNITY CENTRE",21000000,13527,1552.4507
"JAN SEVAK PARTY",7000000,4489,1559.3673
"TRIPURA PRAGATISHIL GRAMIN CONGRESS",14000000,8952,1563.8963
"LOKPRIYA SAMAJ PARTY",21000000,13304,1578.4726
"MANAV MUKTI MORCHA",7000000,4409,1587.6616
"JAMMU & KASHMIR NATIONAL PANTHERS PARTY",91000000,57103,1593.6115
"AKHIL BHARATIYA SHIVSENA RASHTRAWADI",7000000,4380,1598.1735
"DESIYA FORWARD BLOC",28000000,17474,1602.3807
"BHARTIYA EKTA MANCH PARTY",14000000,8729,1603.8492
"PRAGATISHEEL MANAV SAMAJ PARTY",63000000,39038,1613.8122
"RASHTRIYA AMBEDKAR DAL",7000000,4327,1617.7490
"CHHATTISGARHIYA PARTY",7000000,4265,1641.2661
"PRAJATANTRIK SAMADHAN PARTY",35000000,21284,1644.4277
"INDIAN SAVARN SAMAJ PARTY",28000000,16903,1656.5107
"RASHTRIYA SARVAJAN PARTY",7000000,4215,1660.7355
"CHHATTISGARH SWABHIMAN MANCH",70000000,41911,1670.2059
"SAMATA KRANTI DAL",35000000,20910,1673.8403
"DHARAM NIRPEKSH DAL",7000000,4130,1694.9153
"RASHTRIYA APNA DAL",21000000,12366,1698.2048
"RASHTRIYA JANPRIYA PARTY",7000000,4117,1700.2672
"AMBEDKARIST REPUBLICAN PARTY",28000000,16461,1700.9902
"RAJYADHIKARA PARTY",7000000,4112,1702.3346
"SHOSHIT SAMAJ DAL",28000000,16446,1702.5417
"PARCHAM PARTY OF INDIA",7000000,4082,1714.8457
"JHARKHAND ANUSHILAN PARTY",21000000,12240,1715.6863
"RASHTRIYA JANADHIKAR SURAKSHA PARTY",56000000,32514,1722.3350
"BHARATIYA MOMIN FRONT",28000000,16182,1730.3176
"SWATANTRA SAMAJ PARTY",7000000,4016,1743.0279
"ANDHRA RASTRA PRAJA SAMITHI",21000000,12043,1743.7516
"JANVADI PARTY(SOCIALIST)",84000000,47690,1761.3756
"VICHARA JAGRUTHI CONGRESS PAKSHA",7000000,3972,1762.3364
"HINDUSTAN VIKAS DAL",14000000,7921,1767.4536
"JAGO PARTY",49000000,27624,1773.8199
"SHIROMANI AKALI DAL (AMRITSAR)(SIMRANJIT SINGH MANN)",63000000,35516,1773.8484
"AMBEDKAR SAMAJ PARTY",49000000,27589,1776.0702
"KISAN MAJDOOR BEROJGAR SANGH",14000000,7839,1785.9421
"DALITA BAHUJANA PARTY",14000000,7746,1807.3845
"RASHTRIYA SAMANTA DAL",56000000,30880,1813.4715
"PROUTIST SARVA SAMAJ",28000000,15368,1821.9677
"NIRJATITA SAMAJ BIPLABI PARTY",7000000,3829,1828.1536
"LOK SHAKTI",7000000,3722,1880.7093
"AKHIL BHARAT HINDU MAHASABHA",56000000,29483,1899.3997
"BHARATIYA KISAN PARIVARTAN PARTY",14000000,7342,1906.8374
"NATIONAL DEVELOPMENT PARTY",7000000,3618,1934.7706
"BHARATIYA BAHUJAN CONGRESS",14000000,7197,1945.2550
"BAJJIKANCHAL VIKAS PARTY",42000000,21524,1951.3102
"JAMAT-E-SERATUL MUSTAKIM",21000000,10564,1987.8834
"B. C. UNITED FRONT",14000000,7036,1989.7669
"JHARKHAND MUKTI MORCHA (ULGULAN)",7000000,3512,1993.1663
"MEGH DESHAM PARTY",21000000,10490,2001.9066
"BHARATIYA MINORITIES SURAKSHA MAHASANGH",7000000,3441,2034.2924
"SANYUKT SAMAJWADI DAL",14000000,6788,2062.4632
"BHARAT KI LOK JIMMEDAR PARTY",7000000,3392,2063.6792
"BAHUJAN MUKTI PARTY",1624000000,785358,2067.8468
"LOKTANTRIK JANATA PARTY (SECULAR)",21000000,10026,2094.5542
"KARUNAADU PARTY",70000000,33172,2110.2134
"RASHTRIYA SANT SANDESH PARTY",7000000,3283,2132.1962
"SOCIALIST REPUBLICAN PARTY",14000000,6512,2149.8771
"NATIONAL TIGER PARTY",7000000,3251,2153.1836
"BHARATIYA RASHTRIYA BAHUJAN SAMAJ VIKAS PARTY",7000000,3238,2161.8283
"SANKHYANUPATI BHAGIDARI PARTY",35000000,16078,2176.8877
"INDIAN LABOUR PARTY (AMBEDKAR PHULE)",14000000,6390,2190.9233
"PARTY FOR DEMOCRATIC SOCIALISM",49000000,22267,2200.5659
"HINDUSTAN JANTA PARTY",105000000,46761,2245.4610
"RASHTRIYA NAUJAWAN DAL",14000000,6192,2260.9819
"SAMYAK PARIVARTAN PARTY",70000000,30805,2272.3584
"PRAGATISHEEL MAGAHI SAMAJ",7000000,3076,2275.6827
"NATIONAL LOKMAT PARTY",7000000,3072,2278.6458
"EZHUCHI TAMILARGAL MUNNETRA KAZHAGAM",7000000,3023,2315.5805
"VANCHITSAMAJ INSAAF PARTY",56000000,23991,2334.2087
"EX-SAINIK KISSAN PARTY",7000000,2988,2342.7041
"SHOSHIT SANDESH PARTY",7000000,2982,2347.4178
"INDIAN NATIONAL LEAGUE",28000000,11924,2348.2053
"BHARTIYA SARVJAN PARTY",14000000,5845,2395.2096
"GORKHA RASHTRIYA CONGRESS",7000000,2906,2408.8094
"JAN MORCHA",7000000,2901,2412.9610
"RASHTRIYA BAHUJAN CONGRESS PARTY",14000000,5799,2414.2093
"REPUBLICAN PARTY OF INDIA (KHOBRAGADE)",56000000,23110,2423.1934
"SWARAJYA PARTY OF INDIA",28000000,11361,2464.5718
"MAJLIS BACHAO TAHREEK",28000000,11347,2467.6126
"HINDUSTAN KRANTI DAL",7000000,2762,2534.3954
"SAMATA SAMADHAN PARTY",42000000,16501,2545.3003
"RAJASTHAN VIKAS PARTY",21000000,8152,2576.0550
"JAWAN KISAN MORCHA",7000000,2711,2582.0730
"BAHUJAN SANGHARSH PARTY (KANSHIRAM)",14000000,5416,2584.9335
PRISM,7000000,2694,2598.3667
"BUNDELKHAND CONGRESS",14000000,5371,2606.5910
"BHARATIYA INQALAB PARTY",14000000,5362,2610.9661
"EKLAVYA SAMAJ PARTY",14000000,5341,2621.2320
"RASHTRIYA JANSHAKTI PARTY(EKLAVYA)",7000000,2654,2637.5283
"BHARTIYA SHAKTI CHETNA PARTY",210000000,79359,2646.2027
"AGAR JAN PARTY",14000000,5228,2677.8883
"GAREEB AADMI PARTY",63000000,23505,2680.2808
"MARXIST COMMUNIST PARTY OF INDIA (UNITED)",35000000,13028,2686.5213
"RASHTRIYA JANASACHETAN PARTY (R.J.P.)",49000000,18206,2691.4204
"SOCIALIST PARTY (INDIA)",112000000,41516,2697.7551
"GREAT INDIA PARTY",7000000,2594,2698.5351
"SARVA SAMAJ KALYAN PARTY",28000000,10239,2734.6421
"MANAVTAWADI SAMAJ PARTY",49000000,17890,2738.9603
"ALL INDIA PEOPLES' FRONT (RADICAL)",21000000,7630,2752.2936
"JAN RAAJYA PARTY",7000000,2543,2752.6543
"INDIAN KRANTIKARI LEHAR",14000000,5084,2753.7372
"NEW INDIA PARTY",14000000,5082,2754.8209
"AKHIL BHARATIYA SAMAJWADI CONGRESS",7000000,2530,2766.7984
"KRANTIKARI VIKAS DAL",21000000,7541,2784.7766
"NAMADHU MAKKAL KATCHI",7000000,2511,2787.7340
"MOOLNIWASI SAMAJ PARTY",14000000,4986,2807.8620
"MAHAMUKTI DAL",7000000,2482,2820.3062
"SAMAIKYANDHRA PARIRAKSHANA SAMITHI",14000000,4870,2874.7433
"COMMUNIST PARTY OF INDIA (MARXIST-LENINIST) RED STAR",329000000,114323,2877.8111
"MAHILA SWABHIMAN PARTY",7000000,2425,2886.5979
"RASHTRIYA VIKAS PARTY",7000000,2396,2921.5359
"INDIAN CHRISTIAN SECULAR PARTY",42000000,14353,2926.2175
"ANAITHINDIA DRAVIDAR SAMUDAYA MUNNETRA KAZHAGAM",7000000,2372,2951.0961
"SARVSHRESHTH DAL",7000000,2329,3005.5818
"TELANGANA COMMUNIST PARTY OF INDIA",7000000,2311,3028.9918
"LOK DAL",147000000,48198,3049.9191
"YUVA SARKAR",14000000,4578,3058.1040
"BHARATIYA SANT MAT PARTY",49000000,15940,3074.0276
"RASHTRIYA CONGRESS (BABU JAGJIVANRAM)",14000000,4527,3092.5558
"AKHIL BHARTIYA VIKAS CONGRESS PARTY",7000000,2255,3104.2129
"HINDUSTAN KRANTIKARI DAL",21000000,6703,3132.9256
"SHAKTI SENA (BHARAT DESH)",14000000,4465,3135.4983
"SARVAJAN SAMAJ PARTY (D)",21000000,6681,3143.2420
"RASHTRIYA RASHTRAWADI PARTY",7000000,2225,3146.0674
"BAHUJAN SAMAJ PARTY (AMBEDKAR)",35000000,11104,3152.0173
"JAN SHAKTI EKTA PARTY",21000000,6636,3164.5570
"SARVA JANATA PARTY",49000000,15474,3166.6020
"BRAJ VIKAS PARTY",14000000,4411,3173.8835
"ALL J & K KISAN MAJDOOR PARTY",14000000,4392,3187.6138
"AWAMI AAMJAN PARTY",14000000,4378,3197.8072
"DHARMARAJYA PAKSHA",7000000,2175,3218.3908
"PROUTIST BLOC. INDIA",21000000,6509,3226.3020
"SAMATA PARTY",70000000,21635,3235.4980
"RASHTRIYA JANWADI PARTY (KRANTIKARI)",35000000,10797,3241.6412
"MOST BACKWARD CLASSES OF INDIA",63000000,19417,3244.5795
"UNITED COMMUNIST PARTY OF INDIA",21000000,6472,3244.7466
"INDIAN PEACE PARTY",7000000,2155,3248.2599
"JAI MAHA BHARATH PARTY",189000000,58014,3257.8343
"BHARATIYA PEOPLES PARTY",14000000,4291,3262.6427
"BHARTIYA REPUBLICAN PARTY (INSAN)",7000000,2138,3274.0879
"JAI VIJAYA BHARATHI PARTY",14000000,4270,3278.6885
"NAITIK PARTY",119000000,36181,3289.0191
"RASTRIYA INSAAF PARTY",14000000,4219,3318.3219
"MAHANWADI PARTY",7000000,2101,3331.7468
"BHARTIYA VANCHITSAMAJ PARTY",14000000,4144,3378.3784
"BHARATIYA REPUBLICAN PAKSHA",28000000,8226,3403.8415
"UTTARAKHAND PARIVARTAN PARTY",7000000,2045,3422.9829
"AKHIL RASHTRAWADI PARTY",7000000,2029,3449.9754
"PRAGATISHEEL SAMAJ PARTY",14000000,4052,3455.0839
"MANIPUR DEMOCRATIC PEOPLES'S FRONT",7000000,2005,3491.2718
"BHARAT NIRMAN PARTY",7000000,2000,3500.0000
"SOCIALIST PARTY (LOHIA)",7000000,1997,3505.2579
"LABOUR PARTY OF INDIA (V.V. PRASAD)",7000000,1993,3512.2930
"ALL INDIA MINORITIES FRONT",35000000,9938,3521.8354
"AMBEDKAR NATIONAL CONGRESS",70000000,19863,3524.1404
"AARAKSHAN VIRODHI PARTY",21000000,5861,3583.0063
"DR. AMBEDKAR SAMAJVADI DEMOCRATIC PARTY",7000000,1949,3591.5854
"JANTA RAJ PARTY",14000000,3846,3640.1456
"ADARSH MANAVTAWADI PARTY",7000000,1919,3647.7332
"BHARATIYA KISAN SENA LOKTANTRIK",14000000,3826,3659.1741
"SAMTAWADI REPUBLICAN PARTY",35000000,9561,3660.7049
"RASHTRIYA AHINSA MANCH",49000000,13185,3716.3443
"MINORITIES DEMOCRATIC PARTY",42000000,11225,3741.6481
"NAV BHARAT DEMOCRATIC PARTY",63000000,16153,3900.2043
"SANATAN SANSKRITI RAKSHA DAL",28000000,7115,3935.3479
"PRABUDDHA REPUBLICAN PARTY",77000000,19470,3954.8023
"RASHTRAVADI JANATA PARTY",35000000,8713,4016.9861
"ASANKHYA SAMAJ PARTY",14000000,3482,4020.6778
"NARAYANI SENA",7000000,1725,4057.9710
"ADARSH RASHTRIYA VIKAS PARTY",49000000,12037,4070.7818
"RASHTRIYA AAM PARTY",14000000,3408,4107.9812
"BRIHATTAR BHARAT PRAJATANTRA SEWA PARTY",7000000,1679,4169.1483
"LOK BHARATI",56000000,13399,4179.4164
"BHARTI JAN SURAKSHA PARTY",14000000,3336,4196.6427
"BHARTIYA PARTY",7000000,1635,4281.3456
"RASHTRIYA UTTARAKHAND PARTY",7000000,1629,4297.1148
"AWAMI SAMTA PARTY",7000000,1617,4329.0043
"BHARATIYA RASHTRIYA MAZDOOR DAL",7000000,1607,4355.9428
"NATIONAL LOKTANTRIK PARTY",49000000,11174,4385.1799
"ALL INDIA AZAAD CONGRESS PARTY",7000000,1593,4394.2247
"BHARATIYA DR. B.R.AMBEDKAR JANTA PARTY",42000000,9481,4429.9125
"RASHTRIYA MANAV SAMMAN PARTY",7000000,1572,4452.9262
"RASHTRIYA JANSHANTI PARTY",7000000,1571,4455.7607
"ALL JAMMU AND KASHMIR REPUBLICAN PARTY",7000000,1568,4464.2857
"RASHTRIYA JANTA PARTY",7000000,1526,4587.1560
"RASHTRIYA BANDHUTWA PARTY",7000000,1521,4602.2354
"JEBAMANI JANATA",7000000,1517,4614.3705
"AL-HIND PARTY",28000000,5977,4684.6244
"MAHARASHTRA VIKAS AGHADI",14000000,2979,4699.5636
"HINDUSTHAN NIRMAN DAL",42000000,8889,4724.9409
"RASHTRIYA VIKLANG PARTY",14000000,2958,4732.9277
"LOK PARIVARTAN PARTY(DC)",21000000,4396,4777.0701
"NEHRU JANHIT CONGRESS",7000000,1463,4784.6890
"REPUBLICAN BAHUJAN SENA",14000000,2910,4810.9966
"NAVODYAM PARTY",7000000,1455,4810.9966
"THE LOK PARTY OF INDIA",28000000,5804,4824.2591
"BHARTIYA NAUJAWAN INKLAV PARTY",7000000,1440,4861.1111
"RASHTRIYA VIKAS MANCH PARTY",7000000,1434,4881.4505
"BHARTIYA SAMAJIK KRANTI DAL",7000000,1423,4919.1848
"BHRASHTACHAR MUKTI MORCHA",7000000,1413,4953.9986
"LOKTANTRIK SAMAJWADI PARTY",14000000,2820,4964.5390
"BHARATIYA NAVYUVAK PARTY",7000000,1408,4971.5909
"RANI CHENNAMMA PARTY",14000000,2803,4994.6486
"APNA DESH PARTY",28000000,5579,5018.8206
"PUNJAB LABOUR PARTY",7000000,1386,5050.5051
"ANDHRA PRADESH RASHTRA SAMAIKYA SAMITHI PARTY",14000000,2752,5087.2093
"KAMARAJAR DESEEYA CONGRESS",7000000,1345,5204.4610
"DEMOCRATIC PRAJAKRANTHI PARTY SECULARIST",7000000,1342,5216.0954
"BHARATIYA JAWALA SHAKTI PAKSHA",7000000,1337,5235.6021
"MAHARASHTRA PARIVARTAN SENA (T)",70000000,13339,5247.7697
"NAYA DAUR PARTY",84000000,15965,5261.5096
"JAN RAKSHA PARTY",7000000,1318,5311.0774
"INQALAB VIKAS DAL",14000000,2570,5447.4708
"TELANGANA LOKSATTA PARTY",14000000,2568,5451.7134
"BHARAT NAV NIRMAN PARTY",14000000,2533,5527.0430
"DEMOCRATIC SECULAR PARTY",7000000,1262,5546.7512
"NEW ALL INDIA CONGRESS PARTY",21000000,3778,5558.4966
"RASHTRIYA KOMI EKTA PARTY",7000000,1254,5582.1372
"POORVANCHAL RASHTRIYA CONGRESS",28000000,4852,5770.8162
"KALYANKARI JANTANTRIK PARTY",28000000,4839,5786.3195
"MAKKAL MANADU KATCHI",49000000,8468,5786.4903
"BHARATIYA SARVODAYA KRANTI PARTY",14000000,2409,5811.5401
"RASHTRAWADI PARIVARTAN PARTY (L.B.)",7000000,1195,5857.7406
"ALL INDIA MAZDOOR PARTY (RANGRETA)",7000000,1182,5922.1658
"BAHUJAN KRANTI PARTY (MARXWAD-AMBEDKARWAD)",7000000,1174,5962.5213
"BHARATIYA BAHUJAN PARTY",28000000,4653,6017.6230
"INDIAN PEOPLES GREEN PARTY",21000000,3488,6020.6422
"BHARATIYA GAON TAJ DAL",35000000,5761,6075.3341
"BHARTIYA VIKAS PARTY",7000000,1152,6076.3889
"ULZAIPALI MAKKAL KATCHY",56000000,9194,6090.9289
"JANTANTRA PARTY",14000000,2249,6224.9889
"RASHTRIYA GARIB DAL",7000000,1111,6300.6301
"INDIAN JUSTICE PARTY",7000000,1103,6346.3282
"NATIONAL JANHIT CONGRESS (AB)",14000000,2196,6375.2277
"BHARATIYA SAMAJ DAL",7000000,1096,6386.8613
"RASHTRAWADI SAMAJ PARTY",14000000,2181,6419.0738
"VOTERS PARTY",7000000,1089,6427.9155
"AKHIL BHARATIYA MANAVATA PAKSHA",7000000,1077,6499.5357
"THE RELIGION OF MAN REVOLVING POLITICAL PARTY OF INDIA",7000000,1071,6535.9477
"ATULYA BHARAT PARTY",14000000,2135,6557.3770
"BHARTIYA KRISHAK DAL",28000000,4250,6588.2353
"INDIAN BAHUJAN SAMAJWADI PARTY",7000000,1059,6610.0094
"RASHTRIYA SHOSHIT SAMAJ PARTY",7000000,1054,6641.3662
"RASHTRIYA KARMYOG PARTY",14000000,2096,6679.3893
"DEMOCRATIC BHARATIYA SAMAJ PARTY",35000000,5240,6679.3893
"AKHIL BHARTIYA AAMJAN PARTY",7000000,1040,6730.7692
"RASHTRIYA KRANTI PARTY",28000000,4112,6809.3385
"RASHTRIYA PRAJA CONGRESS (SECULAR)",14000000,2025,6913.5802
"BHARTIYA JAN YUG PARTY",14000000,2000,7000.0000
"HIMACHAL SWABHIMAN PARTY",7000000,997,7021.0632
"MANAVADHIKAR JANSHAKTI PARTY",7000000,997,7021.0632
"INDIAN BAHUJAN SANDESH PARTY (KANSHIRAM)",14000000,1952,7172.1311
"NAGRIK EKTA PARTY",21000000,2917,7199.1772
"VISHVA HINDUSTANI SANGATHAN",21000000,2880,7291.6667
"MAJLIS MARKAZ-E-SIYASEE PARTY",7000000,959,7299.2701
"RASHTRIYA MAHAN GANTANTRA PARTY",21000000,2872,7311.9777
"DALIT VIKAS PARTY(BHARAT)",7000000,950,7368.4211
"JANRAL SAMAJ PARTY",7000000,944,7415.2542
"SHIVRAJYA PARTY",7000000,944,7415.2542
"UNION PARTY OF INDIA",7000000,944,7415.2542
"AWAMI VIKAS PARTY",28000000,3750,7466.6667
"AAZADI KA ANTIM AANDOLAN DAL",7000000,937,7470.6510
"BHARTIYA NAVJAWAN SENA (PAKSHA)",14000000,1862,7518.7970
"RASHTRIYA MORCHA PARTY",7000000,927,7551.2406
