CANDIDATE,PARTY,CONSTITUENCY,VOTES
"HUKUM SINGH","BHARATIYA JANATA PARTY",KAIRANA,565909
"BALKA SUMAN","TELANGANA RASHTRA SAMITHI",PEDDAPALLE,565496
"RAKESH SINGH","BHARATIYA JANATA PARTY",JABALPUR,564609
"SUNDARAM P.R","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",NAMAKKAL,563272
"ADALA PRABHAKARA REDDY","TELUGU DESAM",NELLORE,562918
"CHAVDA VINOD LAKHAMASHI","BHARATIYA JANATA PARTY",KACHCHH,562855
"LAKHAN LAL SAHU","BHARATIYA JANATA PARTY",BILASPUR,561387
"RAJ NATH SINGH","BHARATIYA JANATA PARTY",LUCKNOW,561106
"KAMAL NATH","INDIAN NATIONAL CONGRESS",CHHINDWARA,559755
"SAVITRI THAKUR","BHARATIYA JANATA PARTY",DHAR,558387
"P.C. MOHAN","BHARATIYA JANATA PARTY","BANGALORE CENTRAL",557130
PANNERSELVAM.V,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",SALEM,556546
"RAMMOHAN NAIDU KINJARAPU","TELUGU DESAM",SRIKAKULAM,556163
"DR. MAMTAZ SANGHAMITA","ALL INDIA TRINAMOOL CONGRESS",BURDWAN,554521
"ANGADI SURESH CHANNABASAPPA","BHARATIYA JANATA PARTY",BELGAUM,554417
"SAROJ PANDEY","BHARATIYA JANATA PARTY",DURG,553839
"RATHOD DIPSINH SHANKARSINH","BHARATIYA JANATA PARTY",SABARKANTHA,552205
"KAPIL KRISHNA THAKUR","ALL INDIA TRINAMOOL CONGRESS",BANGAON,551213
G.SAMANYAKIRAN,"YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",CHITTOOR,550724
"DR. BHARATIBEN DHIRUBHAI SHIYAL","BHARATIYA JANATA PARTY",BHAVNAGAR,549529
"BALASHOWRY VALLABHANENI","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",GUNTUR,549306
"VASAVA MANSUKHBHAI DHANJIBHAI","BHARATIYA JANATA PARTY",BHARUCH,548902
"BHANU PRATAP SINGH VERMA","BHARATIYA JANATA PARTY",JALAUN,548631
"SUKHBIR SINGH JAUNAPURIA","BHARATIYA JANATA PARTY","TONK-SAWAI MADHOPUR",548179
"ANANTKUMAR HEGDE","BHARATIYA JANATA PARTY","UTTARA KANNADA",546939
"MANEKA SANJAY GANDHI","BHARATIYA JANATA PARTY",PILIBHIT,546934
"DILEEPSINGH BHURIA","BHARATIYA JANATA PARTY",RATLAM,545970
"RAMACHANDRAN K.N. THIRU","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",SRIPERUMBUDUR,545820
"PRALHAD JOSHI","BHARATIYA JANATA PARTY",DHARWAD,545395
"VARIKUTI AMRUTHAPANI","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",BAPATLA,545391
"ANANTHA VENKATARAMIREDDY","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",ANANTAPUR,545240
"RAJESH KUMAR DIWAKER","BHARATIYA JANATA PARTY",HATHRAS,544277
"PASHUPATI NATH SINGH","BHARATIYA JANATA PARTY",DHANBAD,543491
"KARUMANCHI JAYARAM","BHARATIYA JANATA PARTY",TIRUPATI,542951
"CHAVAN HARISHCHANDRA DEORAM","BHARATIYA JANATA PARTY",DINDORI,542784
"LADU KISHORE SWAIN","BIJU JANATA DAL",ASKA,541473
"RITA TARAI","BIJU JANATA DAL",JAJPUR,541349
"THAMBIDURAI M.","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",KARUR,540722
"GOKARAJU GANGA RAJU","BHARATIYA JANATA PARTY",NARSAPURAM,540306
