CANDIDATE,PARTY,CONSTITUENCY,VOTES
"PRADEEP KUMAR MAJHI","INDIAN NATIONAL CONGRESS",NABARANGPUR,371845
"PATEL JIVABHAI AMBALAL","INDIAN NATIONAL CONGRESS",MAHESANA,371359
"DR. SANJAY JAISWAL","BHARATIYA JANATA PARTY","PASCHIM CHAMPARAN",371232
"KOLAR KESAVA","JANATA DAL (SECULAR)",KOLAR,371076
"M.A. BABY","COMMUNIST PARTY OF INDIA (MARXIST)",KOLLAM,370879
"ARKA KESHARI DEO","BIJU JANATA DAL",KALAHANDI,370871
"HUMERA AKHTAR","SAMAJWADI PARTY",AMROHA,370666
"ZAKIR HUSSAIN","INDIAN NATIONAL LOK DAL",GURGAON,370058
"RAJESH PANDEY URF GUDDU","BHARATIYA JANATA PARTY","KUSHI NAGAR",370051
"MUZAFFAR HOSSAIN","COMMUNIST PARTY OF INDIA (MARXIST)",JANGIPUR,370040
"MD. TANVEER HASSAN","RASHTRIYA JANATA DAL",BEGUSARAI,369892
"CHENGARA SURENDRAN","COMMUNIST PARTY OF INDIA",MAVELIKKARA,369695
"SABIR UDDIN MOLLA","COMMUNIST PARTY OF INDIA (MARXIST)",ULUBERIA,369563
"RAJESH RANJAN @ PAPPU YADAV","RASHTRIYA JANATA DAL",MADHEPURA,368937
"SHINDE SUSHILKUMAR SAMBHAJIRAO","INDIAN NATIONAL CONGRESS",SOLAPUR,368205
"AMLABE NARAYAN SINGH","INDIAN NATIONAL CONGRESS",RAJGARH,367990
"YASHWANT SINGH","BHARATIYA JANATA PARTY",NAGINA,367825
"INDRAJEET KUMAR","INDIAN NATIONAL CONGRESS",SIDHI,367632
"SHAILESH KUMAR URPH BULO MANDAL","RASHTRIYA JANATA DAL",BHAGALPUR,367623
"JHA SHANTANU","COMMUNIST PARTY OF INDIA (MARXIST)",KRISHNANAGAR,367534
"HARINDER SINGH KHALSA","AAM AADMI PARTY","FATEHGARH SAHIB",367293
"KRISHNA PRATAP 'K.P.'","BHARATIYA JANATA PARTY",JAUNPUR,367149
"N. DHARAM SINGH","INDIAN NATIONAL CONGRESS",BIDAR,367068
"HARMINDER SINGH GILL","INDIAN NATIONAL CONGRESS","KHADOOR SAHIB",366763
"AJAY SINGH RAHUL BHAIYYA","INDIAN NATIONAL CONGRESS",SATNA,366600
"KAISER JAHAN","BAHUJAN SAMAJ PARTY",SITAPUR,366519
"MASTER BHANWARLAL MEGHWAL","INDIAN NATIONAL CONGRESS",GANGANAGAR,366389
"JANARDHANA SWAMY","BHARATIYA JANATA PARTY",CHITRADURGA,366220
BAALU.T.R,"DRAVIDA MUNNETRA KAZHAGAM",THANJAVUR,366188
"CHHEDI PASWAN","BHARATIYA JANATA PARTY","SASARAM (SC)",366087
"JEYASINGH THIYAGARAJ NATTERJEE.J","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",THOOTHUKKUDI,366052
"DR. DHARAM VIRA GANDHI","AAM AADMI PARTY",PATIALA,365671
"RAVINDRA KR. RAY","BHARATIYA JANATA PARTY",KODARMA,365410
"AJAY KUMAR","JHARKHAND VIKAS MORCHA (PRAJATANTRIK)",JAMSHEDPUR,364277
"SURESH KUMAR SHETKAR","INDIAN NATIONAL CONGRESS",ZAHIRABAD,364030
"SATISH CHANDRA DUBEY","BHARATIYA JANATA PARTY","VALMIKI NAGAR",364011
"BANSODE DATTATRAY GUNDERAO","INDIAN NATIONAL CONGRESS",LATUR,363114
"RADHESHYAM BISWAS","ALL INDIA UNITED DEMOCRATIC FRONT",KARIMGANJ,362866
"WAZED ALI CHOUDHURY","INDIAN NATIONAL CONGRESS",DHUBRI,362839
"RAM SWAROOP SHARMA","BHARATIYA JANATA PARTY",MANDI,362824
"MADAN LAL SHARMA","INDIAN NATIONAL CONGRESS",JAMMU,362715
"DASRATH TIRKEY","ALL INDIA TRINAMOOL CONGRESS",ALIPURDUARS,362453
"TIRTHANKAR RAY","COMMUNIST PARTY OF INDIA (MARXIST)",SRERAMPUR,362407
"PATLOLLA KARTIK REDDY","INDIAN NATIONAL CONGRESS",CHELVELLA,362054
"GOVIND SINGH RAJPUT","INDIAN NATIONAL CONGRESS",SAGAR,361843
"ANSHUL VERMA","BHARATIYA JANATA PARTY",HARDOI,360501
"BHUPEN KUMAR BORAH","INDIAN NATIONAL CONGRESS",TEZPUR,360491
REKHA,"BHARATIYA JANATA PARTY",DHAURAHRA,360357
"SATYAPAL SINGH","BHARATIYA JANATA PARTY",SAMBHAL,360242
"BHARAT SINGH","BHARATIYA JANATA PARTY",BALLIA,359758
"KIRTI VARDHAN SINGH","BHARATIYA JANATA PARTY",GONDA,359643
"PATIL NITIN SURESH","INDIAN NATIONAL CONGRESS",AURANGABAD,358902
"ANTO ANTONY","INDIAN NATIONAL CONGRESS",PATHANAMTHITTA,358842
"RAJA A.","DRAVIDA MUNNETRA KAZHAGAM",NILGIRIS,358760
"NAGENDRA KUMAR PRADHAN","BIJU JANATA DAL",SAMBALPUR,358618
"DR. NEPAL SINGH","BHARATIYA JANATA PARTY",RAMPUR,358616
INNOCENT,INDEPENDENT,CHALAKUDY,358440
"BHANWAR JITENDRA SINGH","INDIAN NATIONAL CONGRESS",ALWAR,358383
"SYED SHAHNAWAZ HUSSAIN","BHARATIYA JANATA PARTY",BHAGALPUR,358138
"HUKM DEO NARAYAN YADAV","BHARATIYA JANATA PARTY",MADHUBANI,358040
"HARISH CHANDRA ALIAS HARISH DWIVEDI","BHARATIYA JANATA PARTY",BASTI,357680
"SATHYAN MOKERI","COMMUNIST PARTY OF INDIA",WAYANAD,356165
"VIVEK KRISHNA TANKHA","INDIAN NATIONAL CONGRESS",JABALPUR,355970
G.S.BASAVARAJ,"BHARATIYA JANATA PARTY",TUMKUR,355827
"RAJIV PRATAP RUDY","BHARATIYA JANATA PARTY",SARAN,355120
"DR SHAFIQ- UR RAHMAN BARQ","SAMAJWADI PARTY",SAMBHAL,355068
"JAGTAP LAXMANBHAU PANDURANG","PEASANTS AND WORKERS PARTY OF INDIA",MAVAL,354829
"BIJOY KRISHNA HANDIQUE","INDIAN NATIONAL CONGRESS",JORHAT,354000
"PROF. K.V. THOMAS","INDIAN NATIONAL CONGRESS",ERNAKULAM,353841
"TULLA VEERENDER","TELUGU DESAM",CHELVELLA,353203
V.ABDURAHMAN,INDEPENDENT,PONNANI,353093
"VEENA DEVI","LOK JAN SHAKTI PARTY",MUNGER,352911
"SELVAM G","DRAVIDA MUNNETRA KAZHAGAM",KANCHEEPURAM,352529
"CHANDRA MOHAN PATOWARY","BHARATIYA JANATA PARTY",BARPETA,352361
"DR. MORTOZA HOSSAIN","ALL INDIA FORWARD BLOC",BARASAT,352246
"K.C.SINGH BABA","INDIAN NATIONAL CONGRESS","NAINITAL-UDHAMSINGH NAGAR",352052
"JAGARNATH MAHTO","JHARKHAND MUKTI MORCHA",GIRIDIH,351600
"K. P. DHANAPALAN","INDIAN NATIONAL CONGRESS",THRISSUR,350982
"JONJONALI BARUAH","INDIAN NATIONAL CONGRESS",NOWGONG,350587
"RAJINDER SINGH RANA","INDIAN NATIONAL CONGRESS",HAMIRPUR,349632
"INGLE KRUSHANARAO GANPATRAO","NATIONALIST CONGRESS PARTY",BULDHANA,349566
"DOLA SEN","ALL INDIA TRINAMOOL CONGRESS",ASANSOL,349503
"MRINAL KUMAR SAIKIA","BHARATIYA JANATA PARTY",KALIABOR,349441
"SANGEETA KUMARI SINGH DEO","BHARATIYA JANATA PARTY",BOLANGIR,349220
"SHARAD TRIPATHI","BHARATIYA JANATA PARTY","SANT KABIR NAGAR",348892
"AJAY TAMTA","BHARATIYA JANATA PARTY",ALMORA,348186
"BIBHU PRASAD TARAI","INDIAN NATIONAL CONGRESS",JAGATSINGHPUR,348098
"PREM SINGH CHANDUMAJRA","SHIROMANI AKALI DAL","ANANDPUR SAHIB",347394
"RAMESH CHANDER","BHARATIYA JANATA PARTY",SONIPAT,347203
"VIJAY SAMPLA","BHARATIYA JANATA PARTY",HOSHIARPUR,346643
"H D KUMARA SWAMY","JANATA DAL (SECULAR)",CHIKKBALLAPUR,346339
"PARTAP SINGH BAJWA","INDIAN NATIONAL CONGRESS",GURDASPUR,346190
"DADDAN MISHRA","BHARATIYA JANATA PARTY",SHRAWASTI,345964
"CHINNASAMY M.","DRAVIDA MUNNETRA KAZHAGAM",KARUR,345475
"PRENEET KAUR","INDIAN NATIONAL CONGRESS",PATIALA,344729
"P C CHACKO","INDIAN NATIONAL CONGRESS",CHALAKUDY,344556
"MUKUL WASNIK","INDIAN NATIONAL CONGRESS",RAMTEK,344101
"PREM CHAND JAYASI","INDIAN NATIONAL CONGRESS",JANJGIR-CHAMPA,343948
"SUDIP BANDYOPADHYAY","ALL INDIA TRINAMOOL CONGRESS","KOLKATA UTTAR",343687
"P C SHARMA (PRAKASH MANGILAL SHARMA )","INDIAN NATIONAL CONGRESS",BHOPAL,343482
"NILESH NARAYAN RANE","INDIAN NATIONAL CONGRESS",RATNAGIRI,343037
"MISHA BHARTI","RASHTRIYA JANATA DAL",PATALIPUTRA,342940
"BHAIRON PRASAD MISHRA","BHARATIYA JANATA PARTY",BANDA,342066
"NIKAM DEVDATTA JAYWANT","NATIONALIST CONGRESS PARTY",SHIRUR,341601
"MANOHAR TIRKEY","REVOLUTIONARY SOCIALIST PARTY",ALIPURDUARS,341056
"JUAL @ JUEL ORAM","BHARATIYA JANATA PARTY",SUNDARGARH,340508
"MULAYAM SINGH YADAV","SAMAJWADI PARTY",AZAMGARH,340306
"DEEPINDER SINGH DHILLON","SHIROMANI AKALI DAL",PATIALA,340109
"DR JYOTI MIRDHA","INDIAN NATIONAL CONGRESS",NAGAUR,339573
"UPENDRA KUSHWAHA","RASHTRIYA LOK SAMTA PARTY",KARAKAT,338892
"HEMLAL MURMU","BHARATIYA JANATA PARTY",RAJMAHAL,338170
"RAMSINH PARMAR","INDIAN NATIONAL CONGRESS",PANCHMAHAL,337678
"ABDUL BARI SIDDIQUI","RASHTRIYA JANATA DAL",MADHUBANI,337505
"SHABBIR AHMAD","SAMAJWADI PARTY",BAHRAICH,336747
"SUSHMITA DEV","INDIAN NATIONAL CONGRESS",SILCHAR,336451
"BIRENDRA BARA (ORAON)","BHARATIYA JANATA PARTY",ALIPURDUARS,335857
"SHIBU SOREN","JHARKHAND MUKTI MORCHA",DUMKA,335815
"BIRENDRA KUMAR CHAUDHARY","BHARATIYA JANATA PARTY",JHANJHARPUR,335481
"DINSHA PATEL","INDIAN NATIONAL CONGRESS",KHEDA,335334
"NASEER AHMAD KHAN","SAMAJWADI PARTY",RAMPUR,335181
"DR.SURESH JATAV","INDIAN NATIONAL CONGRESS",BHARATPUR,334357
"AP JITHENDER REDDY","TELANGANA RASHTRA SAMITHI",MAHBUBNAGAR,334228
"S.R. VIJAYAKUMAR","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM","CHENNAI CENTRAL",333296
"MOHINDER SINGH KAYPEE","INDIAN NATIONAL CONGRESS",HOSHIARPUR,333061
"BHAUSAHEB RAJARAM WAKCHAURE","INDIAN NATIONAL CONGRESS",SHIRDI,333014
"RANJEET RANJAN","INDIAN NATIONAL CONGRESS",SUPAUL,332927
"ANNADURAI C N","DRAVIDA MUNNETRA KAZHAGAM",TIRUVANNAMALAI,332145
"VAGISH PATHAK","BHARATIYA JANATA PARTY",BADAUN,332031
"JAIPAL REDDY SUDINI","INDIAN NATIONAL CONGRESS",MAHBUBNAGAR,331638
"VINOD KUMAR SONKAR","BHARATIYA JANATA PARTY",KAUSHAMBI,331593
"ADV.DEAN KURIAKOSE","INDIAN NATIONAL CONGRESS",IDUKKI,331477
"PREMCHAND GUDDU","INDIAN NATIONAL CONGRESS",UJJAIN,331438
"SATYA BRATA MOOKHERJEE","BHARATIYA JANATA PARTY",KRISHNANAGAR,329387
"NAVNEET RAVI RANA","NATIONALIST CONGRESS PARTY",AMRAVATI,329280
"NAHID HASAN","SAMAJWADI PARTY",KAIRANA,329081
"ASIM KUMAR DASGUPTA","COMMUNIST PARTY OF INDIA (MARXIST)","DUM DUM",328310
"VIJAYAN. A.K.S","DRAVIDA MUNNETRA KAZHAGAM",NAGAPATTINAM,328095
"SURESH PUJARI","BHARATIYA JANATA PARTY",SAMBALPUR,328042
"DR. PULIN BIHARI BASKE","COMMUNIST PARTY OF INDIA (MARXIST)",JHARGRAM,326621
"HARI MANJHI","BHARATIYA JANATA PARTY","GAYA (SC)",326230
"KOLI PATEL SOMABHAI GANDALAL","INDIAN NATIONAL CONGRESS",SURENDRANAGAR,326096
"ASHOK KUMAR RAWAT","BAHUJAN SAMAJ PARTY",MISRIKH,325212
"SHANMUGAM A.C.","BHARATIYA JANATA PARTY",VELLORE,324326
"BRIJ KISHOR SINGH DIMPAL","SAMAJWADI PARTY",BASTI,324118
"NEELAM SONKAR","BHARATIYA JANATA PARTY",LALGANJ,324016
"DR. MAHESH JOSHI","INDIAN NATIONAL CONGRESS",JAIPUR,324013
"AMBIKA SONI","INDIAN NATIONAL CONGRESS","ANANDPUR SAHIB",323697
"ADV.BINDHU KRISHNA","INDIAN NATIONAL CONGRESS",ATTINGAL,323100
"SANGRAM KESHARI JENA","INDIAN NATIONAL CONGRESS",BHADRAK,322979
"PRATIBHA SINGH","INDIAN NATIONAL CONGRESS",MANDI,322968
"KHAGEN MURMU","COMMUNIST PARTY OF INDIA (MARXIST)","MALDAHA UTTAR",322904
"DR. ARUN KUMAR","RASHTRIYA LOK SAMTA PARTY",JAHANABAD,322647
"KAUSHLENDRA KUMAR","JANATA DAL (UNITED)",NALANDA,321982
"GUMMIDI SANDHYARANI","TELUGU DESAM",ARUKU,321793
"MEGHE SAGAR DATTATRAYA","INDIAN NATIONAL CONGRESS",WARDHA,321735
"DILIP KUMAR TIRKEY","BIJU JANATA DAL",SUNDARGARH,321679
"SUKHDEV SINGH DHINDSA","SHIROMANI AKALI DAL",SANGRUR,321516
"JANARDAN SINGH SIGRIWAL","BHARATIYA JANATA PARTY",MAHARAJGANJ,320753
"PROF. AZMEERA SEETARAM NAIK","TELANGANA RASHTRA SAMITHI",MAHABUBABAD,320569
"RANEE NARAH","INDIAN NATIONAL CONGRESS",LAKHIMPUR,320405
"FURKAN ANSARI","INDIAN NATIONAL CONGRESS",GODDA,319818
"NARENDRA BHATI","SAMAJWADI PARTY","GAUTAM BUDDHA NAGAR",319490
"OM PARKASH DHANKAR","BHARATIYA JANATA PARTY",ROHTAK,319436
"ASHWINI KUMAR CHOUBEY","BHARATIYA JANATA PARTY",BUXAR,319012
"R. PRABHAKARA REDDY","JANATA DAL (SECULAR)","BANGALORE RURAL",317870
"MD. SALIM","COMMUNIST PARTY OF INDIA (MARXIST)",RAIGANJ,317515
"NITYANAND RAI","BHARATIYA JANATA PARTY",UJIARPUR,317352
"NIKHIL KUMAR CHOUDHARY","BHARATIYA JANATA PARTY",KATIHAR,316552
"RUDRA NARAYAN PANY","BHARATIYA JANATA PARTY",DHENKANAL,315937
"DEEPA DASMUNSI","INDIAN NATIONAL CONGRESS",RAIGANJ,315881
"HARISH CHANDRA MEENA","BHARATIYA JANATA PARTY",DAUSA,315059
"AJAY SHAH MAKRAI","INDIAN NATIONAL CONGRESS",BETUL,315037
"KIRTI AZAD","BHARATIYA JANATA PARTY",DARBHANGA,314949
"PRADIPTA KUMAR NAIK","BHARATIYA JANATA PARTY",KALAHANDI,314524
"NARAHARI MAHATO","ALL INDIA FORWARD BLOC",PURULIA,314400
"RABRI DEVI","RASHTRIYA JANATA DAL",SARAN,314172
"SANJEEV GANESH NAIK","NATIONALIST CONGRESS PARTY",THANE,314065
"DR. ADITYA LANGTHASA","ALL INDIA UNITED DEMOCRATIC FRONT",NOWGONG,314012
"CHOUDHARY MAHBOOB ALI KAISER","LOK JAN SHAKTI PARTY",KHAGARIA,313806
"SHYAMA CHARAN GUPTA","BHARATIYA JANATA PARTY",ALLAHABAD,313772
"SADHU SINGH","INDIAN NATIONAL CONGRESS","FATEHGARH SAHIB",313149
"K. V. PUSA","INDIAN NATIONAL CONGRESS",NAGALAND,313147
"KULWANT SINGH","SHIROMANI AKALI DAL","FATEHGARH SAHIB",312815
"MUNNI DEVI GODARA","INDIAN NATIONAL CONGRESS",PALI,312733
"SHARAD YADAV","JANATA DAL (UNITED)",MADHEPURA,312728
"SATYA NAND SHARMA","LOK JAN SHAKTI PARTY",NALANDA,312355
"DR.BHAGAVANTH RAO","BHARATIYA JANATA PARTY",HYDERABAD,311414
"MANIMARAN. R","DRAVIDA MUNNETRA KAZHAGAM",KALLAKURICHI,309876
"R.K CHAUDHARY","BAHUJAN SAMAJ PARTY",MOHANLALGANJ,309858
"PAWAN KUMAR TINU","SHIROMANI AKALI DAL",JALANDHAR,309498
"AHIR VIKRAMBHAI ARJANBHAI MADAM","INDIAN NATIONAL CONGRESS",JAMNAGAR,309123
"PABAN SINGH GHATOWAR","INDIAN NATIONAL CONGRESS",DIBRUGARH,309017
"DR.DINESH PARMAR","INDIAN NATIONAL CONGRESS",KACHCHH,308373
ANBHALAGAN.MU,"DRAVIDA MUNNETRA KAZHAGAM",TIRUCHIRAPPALLI,308002
"BHAKTA CHARAN DAS","INDIAN NATIONAL CONGRESS",KALAHANDI,307967
"SUSHIL KUMAR SINGH","BHARATIYA JANATA PARTY",AURANGABAD,307941
"M P VEERENDRAKUMAR","SOCIALIST JANATA (DEMOCRATIC)",PALAKKAD,307597
"CHHAGAN BHUJBAL","NATIONALIST CONGRESS PARTY",NASHIK,307399
"GIRIRAJAN .R","DRAVIDA MUNNETRA KAZHAGAM","CHENNAI NORTH",307000
"PATEL HIMMATSINGH PRAHLADSINGH","INDIAN NATIONAL CONGRESS","AHMEDABAD EAST",306949
"MANOJ SINHA","BHARATIYA JANATA PARTY",GHAZIPUR,306929
"HIMMAT SINGH SHERGILL","AAM AADMI PARTY","ANANDPUR SAHIB",306008
"PATEL JOITABHAI KASNABHAI","INDIAN NATIONAL CONGRESS",BANASKANTHA,305522
"RAMA KISHORE SINGH","LOK JAN SHAKTI PARTY",VAISHALI,305450
RAVIKUMAR.D,"VIDUTHALAI CHIRUTHAIGAL KATCHI",THIRUVALLUR,305069
"LAKSHMAN SINGH","INDIAN NATIONAL CONGRESS",VIDISHA,303650
"ADV.MATHEW T. THOMAS","JANATA DAL (SECULAR)",KOTTAYAM,303595
"CHANDRESH KUMARI","INDIAN NATIONAL CONGRESS",JODHPUR,303464
"VINOD KUMAR ALIAS PANDIT SINGH","SAMAJWADI PARTY",KAISERGANJ,303282
"LAXMAN GILUWA","BHARATIYA JANATA PARTY",SINGHBHUM,303131
"VILAS MUTTEMWAR","INDIAN NATIONAL CONGRESS",NAGPUR,302939
"MEIRA KUMAR","INDIAN NATIONAL CONGRESS","SASARAM (SC)",302760
"BIMALENDU SARKAR (BIMAL)","REVOLUTIONARY SOCIALIST PARTY",BALURGHAT,302677
"ADV. PEELIPOSE THOMAS",INDEPENDENT,PATHANAMTHITTA,302651
"UDAY SINGH ALIAS PAPPU SINGH","BHARATIYA JANATA PARTY",PURNIA,302157
"MOHAN LAL BRAKTA","INDIAN NATIONAL CONGRESS",SHIMLA,301786
T.K.S.ELANGOVAN,"DRAVIDA MUNNETRA KAZHAGAM","CHENNAI SOUTH",301779
"PATIL VISHWANATH RAMCHANDRA","INDIAN NATIONAL CONGRESS",BHIWANDI,301620
ASHUTOSH,"AAM AADMI PARTY","CHANDNI CHOWK",301618
"KABINDRA PURKAYASTHA","BHARATIYA JANATA PARTY",SILCHAR,301210
"THIRUMAAVALAVAN THOL","VIDUTHALAI CHIRUTHAIGAL KATCHI",CHIDAMBARAM,301041
"ABHINESH MAHARSHI","BAHUJAN SAMAJ PARTY",CHURU,301017
"SMRITI ZUBIN IRANI","BHARATIYA JANATA PARTY",AMETHI,300748
"PONNAM PRABHAKAR","INDIAN NATIONAL CONGRESS",KARIMNAGAR,300706
"MOHD.SHAHID AKHLAK","BAHUJAN SAMAJ PARTY",MEERUT,300655
"RAVNEET SINGH BITTU","INDIAN NATIONAL CONGRESS",LUDHIANA,300459
"DR. C.P. JOSHI","INDIAN NATIONAL CONGRESS","JAIPUR RURAL",300034
"CHOUDHARY MAHENDRA PRATAP SINGH","INDIAN NATIONAL CONGRESS",DAMOH,299780
"DR. NAMDEO DALLUJI USENDI","INDIAN NATIONAL CONGRESS",GADCHIROLI-CHIMUR,299112
"DR. DEBAMOY SANYAL","BHARATIYA JANATA PARTY",DHUBRI,298985
"DR DILIP KUMAR JAISWAL","BHARATIYA JANATA PARTY",KISHANGANJ,298849
"JAGDAMBIKA PAL","BHARATIYA JANATA PARTY",DOMARIYAGANJ,298845
"AFZAL SIDDIQUI","BAHUJAN SAMAJ PARTY",FATEHPUR,298788
"DR. SHASHI THAROOR","INDIAN NATIONAL CONGRESS",THIRUVANANTHAPURAM,297806
"ISHWARBAHI DHANABHAI MAKWANA","INDIAN NATIONAL CONGRESS","AHMEDABAD WEST",296793
"SUNIL SOREN","BHARATIYA JANATA PARTY",DUMKA,296785
"THANGSO BAITE","INDIAN NATIONAL CONGRESS","OUTER MANIPUR",296770
"P.C. SORCAR JUNIOR","BHARATIYA JANATA PARTY",BARASAT,296608
"SUNIL KUMAR SINGH","BHARATIYA JANATA PARTY",CHATRA,295862
"TATHAGATA ROY","BHARATIYA JANATA PARTY","KOLKATA DAKSHIN",295376
"DR. BHARATI PRAVIN PAWAR","NATIONALIST CONGRESS PARTY",DINDORI,295165
"BALIRAM SUKUR JADHAV","BAHUJAN VIKAS AAGHADI",PALGHAR,293681
"RAKESH PANDEY","BAHUJAN SAMAJ PARTY","AMBEDKAR NAGAR",292675
"DR. THOKCHOM MEINYA","INDIAN NATIONAL CONGRESS","INNER MANIPUR",292102
"PRATAP CHANDRA SARANGI","BHARATIYA JANATA PARTY",BALASORE,291943
"DUTT PRIYA SUNIL","INDIAN NATIONAL CONGRESS","MUMBAI NORTH CENTRAL",291764
"SRIDIP BHATTACHARYA","COMMUNIST PARTY OF INDIA (MARXIST)",HOWRAH,291505
"BHAI CHUNG BHUTIA","ALL INDIA TRINAMOOL CONGRESS",DARJEELING,291018
"ASHISH KHETAN","AAM AADMI PARTY","NEW DELHI",290642
"KIRITBHAI ISHVARBHAI PATEL","INDIAN NATIONAL CONGRESS",GANDHINAGAR,290418
"UMED SINGH KASHYAP","BAHUJAN SAMAJ PARTY",SHAHJAHANPUR,289603
"MUTHAIYAN K DR","DRAVIDA MUNNETRA KAZHAGAM",VILUPPURAM,289337
"ALI MOHAMMAD","ALL INDIA TRINAMOOL CONGRESS",MURSHIDABAD,289027
"UMARANI. S","DRAVIDA MUNNETRA KAZHAGAM",SALEM,288936
"SHAILENDRA KUMAR","SAMAJWADI PARTY",KAUSHAMBI,288746
"BALBIR SINGH SAINI","INDIAN NATIONAL LOK DAL",KURUKSHETRA,288376
"PROF. RITA BAHUGUNA JOSHI","INDIAN NATIONAL CONGRESS",LUCKNOW,288357
"ARVIND GIRI","BAHUJAN SAMAJ PARTY",KHERI,288304
"NAVEEN JINDAL","INDIAN NATIONAL CONGRESS",KURUKSHETRA,287722
"BAPPI LAHIRI","BHARATIYA JANATA PARTY",SRERAMPUR,287712
"DAYANIDHI MARAN","DRAVIDA MUNNETRA KAZHAGAM","CHENNAI CENTRAL",287455
"MANISHDADA JAIN","NATIONALIST CONGRESS PARTY",RAVER,287384
"MOHAMED JALEEL .S","DRAVIDA MUNNETRA KAZHAGAM",RAMANATHAPURAM,286621
"CHANDER KUMAR","INDIAN NATIONAL CONGRESS",KANGRA,286091
"P. BALRAM","INDIAN NATIONAL CONGRESS",MAHABUBABAD,285577
"CHIRAG KUMAR PASWAN","LOK JAN SHAKTI PARTY","JAMUI (SC)",285354
"JAI PRAKASH NARAYAN YADAV","RASHTRIYA JANATA DAL",BANKA,285150
"KUNWAR RATANJIT PRATAP NARAIN SINGH","INDIAN NATIONAL CONGRESS","KUSHI NAGAR",284511
"RAJES NANDINI SINGH","INDIAN NATIONAL CONGRESS",SHAHDOL,284118
"RAM PRASAD CHAUDHARY","BAHUJAN SAMAJ PARTY",BASTI,283747
"NARAYAN SINGH SUMAN","BAHUJAN SAMAJ PARTY",AGRA,283453
"PRABHU NATH SINGH","RASHTRIYA JANATA DAL",MAHARAJGANJ,282338
"SRI. O RAJAGOPAL","BHARATIYA JANATA PARTY",THIRUVANANTHAPURAM,282336
"KAMAT GURUDAS VASANT","INDIAN NATIONAL CONGRESS","MUMBAI NORTH WEST",281792
"SHAHNAWAZ RANA","SAMAJWADI PARTY",BIJNOR,281139
"SOSO LORHO","NAGA PEOPLES FRONT","OUTER MANIPUR",281133
"TAVIYAD DR. PRABHABEN KISHORSINH","INDIAN NATIONAL CONGRESS",DAHOD,280757
"HARVINDER SINGH PHOOLKA","AAM AADMI PARTY",LUDHIANA,280750
"THUMMAR VIRJIBHAI KESHAVBHAI (VIRJIBHAI THUMMAR)","INDIAN NATIONAL CONGRESS",AMRELI,280483
"SURENDRA PRASAD YADAV","RASHTRIYA JANATA DAL",JAHANABAD,280307
"MANGANI LAL MANDAL","RASHTRIYA JANATA DAL",JHANJHARPUR,280073
"MD. ALI ASHRAF FATMI","RASHTRIYA JANATA DAL",DARBHANGA,279906
"DEVENDRA PATEL GUDDU BHAIYA","INDIAN NATIONAL CONGRESS",HOSHANGABAD,279168
"SHIVE PRASAD VERMA","BAHUJAN SAMAJ PARTY",HARDOI,279158
SUDHAMANIRATHINEM,"PATTALI MAKKAL KATCHI",CHIDAMBARAM,279016
"TERA CHINNAPA REDDY","TELUGU DESAM",NALGONDA,278937
"URKHAO GWRA BRAHMA",INDEPENDENT,KOKRAJHAR,278649
"NANDINI MUKHERJEE","COMMUNIST PARTY OF INDIA (MARXIST)","KOLKATA DAKSHIN",278414
NANDAGOPALAKRISHNAN.K.,"DRAVIDA MUNNETRA KAZHAGAM",CUDDALORE,278304
"PARAMJIT KAUR GULSHAN","SHIROMANI AKALI DAL",FARIDKOT,278235
"ISMAIL HUSSAIN","INDIAN NATIONAL CONGRESS",BARPETA,277802
"SARAT PATTNAYAK","INDIAN NATIONAL CONGRESS",BOLANGIR,277616
"AYESHA ISLAM","SAMAJWADI PARTY",BAREILLY,277573
"SHRIKANTA KUMAR JENA","INDIAN NATIONAL CONGRESS",BALASORE,277517
"ANANTA NAYAK","BHARATIYA JANATA PARTY",KEONJHAR,277154
"RAMAKANT YADAV","BHARATIYA JANATA PARTY",AZAMGARH,277102
"ER. SHANKAR PANNU","INDIAN NATIONAL CONGRESS",BIKANER,276853
"USHA VERMA","SAMAJWADI PARTY",HARDOI,276543
ESWARAN.E.R.,"BHARATIYA JANATA PARTY",POLLACHI,276118
"YASHVIR SINGH","SAMAJWADI PARTY",NAGINA,275435
"MISTRI MADHUSUDAN DEVRAM","INDIAN NATIONAL CONGRESS",VADODARA,275336
"BAHADUR SINGH","INDIAN NATIONAL LOK DAL",BHIWANI-MAHENDRAGARH,275148
"PUTUL KUMARI","BHARATIYA JANATA PARTY",BANKA,275006
"SANJAY BHOI","INDIAN NATIONAL CONGRESS",BARGARH,274610
"SMT SHIVKANYA KUSHWAHA","SAMAJWADI PARTY",GHAZIPUR,274477
"G. VIVEKANAND","INDIAN NATIONAL CONGRESS",PEDDAPALLE,274338
"KU. DEVENDRA SINGH YADAV","SAMAJWADI PARTY",ETAH,273977
"CHINNA PILLAPPA.P","DRAVIDA MUNNETRA KAZHAGAM",KRISHNAGIRI,273900
"DILESHWAR KAMAIT","JANATA DAL (UNITED)",SUPAUL,273255
"DR. JANARDHAN REDDY NAGAM","BHARATIYA JANATA PARTY",MAHBUBNAGAR,272791
"SUBHASHINI ALI","COMMUNIST PARTY OF INDIA (MARXIST)",BARRACKPORE,272433
